kind,capacity,config,levels,datasets,mean_hits,mean_hit_rate_percent,variance_hit_rate_percentage_points_squared,stddev_hit_rate_percentage_points,min_hit_rate_percent,max_hit_rate_percent
hotshift,200,LIRS_200,1,40,14226.100,71.130500,0.055706,0.236022,70.615000,71.560000
hotshift,200,LRU_200,1,40,14632.050,73.160250,0.046754,0.216226,72.710000,73.580000
hotshift20,10,2Q_10,1,40,7094.325,35.471625,0.123739,0.351765,34.795000,36.120000
hotshift20,10,ARC_10,1,40,10992.200,54.961000,0.105921,0.325455,54.305000,55.630000
hotshift20,10,BELADY_10,1,40,11686.900,58.434500,0.065051,0.255051,57.920000,58.865000
hotshift20,10,LFU_10,1,40,2464.300,12.321500,0.062239,0.249477,11.580000,12.905000
hotshift20,10,LIRS_10,1,40,8698.150,43.490750,0.165040,0.406252,42.605000,44.100000
hotshift20,10,LRU_10,1,40,11187.300,55.936500,0.082586,0.287378,55.285000,56.490000
hotshift20,25,2Q_25,1,40,8360.300,41.801500,0.143505,0.378821,41.070000,42.410000
hotshift20,25,ARC_25,1,40,11191.875,55.959375,0.092450,0.304056,55.400000,56.550000
hotshift20,25,BELADY_25,1,40,12279.675,61.398375,0.049190,0.221789,60.990000,61.755000
hotshift20,25,LFU_25,1,40,2472.575,12.362875,0.062918,0.250834,11.610000,12.980000
hotshift20,25,LIRS_25,1,40,10454.000,52.270000,0.171328,0.413918,51.410000,53.135000
hotshift20,25,LRU_25,1,40,11272.525,56.362625,0.075626,0.275001,55.790000,56.860000
hotshift20,50,2Q_50,1,40,10716.650,53.583250,0.139652,0.373700,52.815000,54.385000
hotshift20,50,ARC_50,1,40,11397.875,56.989375,0.090007,0.300011,56.410000,57.645000
hotshift20,50,BELADY_50,1,40,12837.600,64.188000,0.038077,0.195132,63.810000,64.540000
hotshift20,50,LFU_50,1,40,2491.425,12.457125,0.057958,0.240744,11.720000,13.055000
hotshift20,50,LIRS_50,1,40,11225.700,56.128500,0.080691,0.284062,55.500000,56.610000
hotshift20,50,LRU_50,1,40,11382.775,56.913875,0.071385,0.267180,56.355000,57.405000
hotshift20,75,2Q_75,1,40,11778.250,58.891250,0.076214,0.276068,58.285000,59.500000
hotshift20,75,ARC_75,1,40,11597.900,57.989500,0.076723,0.276989,57.450000,58.495000
hotshift20,75,BELADY_75,1,40,13224.900,66.124500,0.029734,0.172437,65.795000,66.450000
hotshift20,75,LFU_75,1,40,2507.900,12.539500,0.066207,0.257308,11.730000,13.105000
hotshift20,75,LIRS_75,1,40,11288.900,56.444500,0.069251,0.263156,55.910000,56.955000
hotshift20,75,LRU_75,1,40,11493.475,57.467375,0.071315,0.267049,56.950000,57.975000
hotshift20,100,2Q_100,1,40,12027.100,60.135500,0.059915,0.244776,59.545000,60.595000
hotshift20,100,ARC_100,1,40,11800.675,59.003375,0.089866,0.299776,58.380000,59.550000
hotshift20,100,BELADY_100,1,40,13528.550,67.642750,0.023114,0.152033,67.385000,67.925000
hotshift20,100,LFU_100,1,40,2517.725,12.588625,0.071470,0.267340,11.780000,13.105000
hotshift20,100,LIRS_100,1,40,11345.900,56.729500,0.065416,0.255766,56.160000,57.190000
hotshift20,100,LRU20_2Q80,2,40,11853.500,59.267500,0.065329,0.255596,58.765000,59.790000
hotshift20,100,LRU20_ARC80,2,40,11953.575,59.767875,0.066869,0.258591,59.235000,60.210000
