dataset,kind,seed,config,capacity,levels,requests,hits,misses,hit_rate_percent
uniform_01.txt,uniform,1,ARC_150,150,1,20000,7500,12500,37.500000
uniform_01.txt,uniform,1,ARC_175,175,1,20000,8765,11235,43.825000
uniform_01.txt,uniform,1,ARC_200,200,1,20000,10024,9976,50.120000
uniform_01.txt,uniform,1,ARC_25,25,1,20000,1224,18776,6.120000
uniform_01.txt,uniform,1,ARC_50,50,1,20000,2463,17537,12.315000
uniform_01.txt,uniform,1,ARC_75,75,1,20000,3746,16254,18.730000
uniform_01.txt,uniform,1,LFU_10,10,1,20000,502,19498,2.510000
uniform_01.txt,uniform,1,LFU_100,100,1,20000,4868,15132,24.340000
uniform_01.txt,uniform,1,LFU_125,125,1,20000,6102,13898,30.510000
uniform_01.txt,uniform,1,LFU_150,150,1,20000,7306,12694,36.530000
uniform_01.txt,uniform,1,LFU_175,175,1,20000,8567,11433,42.835000
uniform_01.txt,uniform,1,LFU_200,200,1,20000,9840,10160,49.200000
uniform_01.txt,uniform,1,LFU_25,25,1,20000,1216,18784,6.080000
uniform_01.txt,uniform,1,LFU_50,50,1,20000,2418,17582,12.090000
uniform_01.txt,uniform,1,LFU_75,75,1,20000,3677,16323,18.385000
uniform_01.txt,uniform,1,LIRS_10,10,1,20000,484,19516,2.420000
uniform_01.txt,uniform,1,LIRS_100,100,1,20000,5011,14989,25.055000
uniform_01.txt,uniform,1,LIRS_125,125,1,20000,6253,13747,31.265000
uniform_01.txt,uniform,1,LIRS_150,150,1,20000,7517,12483,37.585000
uniform_01.txt,uniform,1,LIRS_175,175,1,20000,8853,11147,44.265000
uniform_01.txt,uniform,1,LIRS_200,200,1,20000,10064,9936,50.320000
uniform_01.txt,uniform,1,LIRS_25,25,1,20000,1218,18782,6.090000
uniform_01.txt,uniform,1,LIRS_50,50,1,20000,2448,17552,12.240000
uniform_01.txt,uniform,1,LIRS_75,75,1,20000,3758,16242,18.790000
uniform_01.txt,uniform,1,LRU20_2Q80,100,2,20000,4190,15810,20.950000
uniform_01.txt,uniform,1,LRU20_ARC80,100,2,20000,3995,16005,19.975000
uniform_01.txt,uniform,1,LRU20_LFU80,100,2,20000,4175,15825,20.875000
uniform_01.txt,uniform,1,LRU20_LIRS80,100,2,20000,4031,15969,20.155000
uniform_01.txt,uniform,1,LRU_10,10,1,20000,472,19528,2.360000
uniform_01.txt,uniform,1,LRU_100,100,1,20000,4980,15020,24.900000
uniform_01.txt,uniform,1,LRU_125,125,1,20000,6236,13764,31.180000
uniform_01.txt,uniform,1,LRU_150,150,1,20000,7466,12534,37.330000
uniform_01.txt,uniform,1,LRU_175,175,1,20000,8705,11295,43.525000
uniform_01.txt,uniform,1,LRU_200,200,1,20000,10024,9976,50.120000
uniform_01.txt,uniform,1,LRU_25,25,1,20000,1264,18736,6.320000
uniform_01.txt,uniform,1,LRU_50,50,1,20000,2544,17456,12.720000
uniform_01.txt,uniform,1,LRU_75,75,1,20000,3758,16242,18.790000
uniform_01.txt,uniform,1,BELADY_10,10,1,20000,3540,16460,17.700000
uniform_01.txt,uniform,1,BELADY_25,25,1,20000,6044,13956,30.220000
uniform_01.txt,uniform,1,BELADY_50,50,1,20000,8650,11350,43.250000
uniform_01.txt,uniform,1,BELADY_75,75,1,20000,10524,9476,52.620000
uniform_01.txt,uniform,1,BELADY_100,100,1,20000,12023,7977,60.115000
uniform_01.txt,uniform,1,BELADY_125,125,1,20000,13257,6743,66.285000
uniform_01.txt,uniform,1,BELADY_150,150,1,20000,14325,5675,71.625000
uniform_01.txt,uniform,1,BELADY_175,175,1,20000,15280,4720,76.400000
uniform_01.txt,uniform,1,BELADY_200,200,1,20000,16093,3907,80.465000
uniform_02.txt,uniform,2,2Q_10,10,1,20000,507,19493,2.535000
uniform_02.txt,uniform,2,2Q_100,100,1,20000,5021,14979,25.105000
uniform_02.txt,uniform,2,2Q_125,125,1,20000,6254,13746,31.270000
uniform_02.txt,uniform,2,2Q_150,150,1,20000,7539,12461,37.695000
uniform_02.txt,uniform,2,2Q_175,175,1,20000,8736,11264,43.680000
uniform_02.txt,uniform,2,2Q_200,200,1,20000,10029,9971,50.145000
uniform_02.txt,uniform,2,2Q_25,25,1,20000,1250,18750,6.250000
uniform_02.txt,uniform,2,2Q_50,50,1,20000,2523,17477,12.615000
uniform_02.txt,uniform,2,2Q_75,75,1,20000,3786,16214,18.930000
uniform_02.txt,uniform,2,ARC_10,10,1,20000,454,19546,2.270000
uniform_02.txt,uniform,2,ARC_100,100,1,20000,5070,14930,25.350000
uniform_02.txt,uniform,2,ARC_125,125,1,20000,6303,13697,31.515000
uniform_02.txt,uniform,2,ARC_150,150,1,20000,7638,12362,38.190000
uniform_02.txt,uniform,2,ARC_175,175,1,20000,8865,11135,44.325000
uniform_02.txt,uniform,2,ARC_200,200,1,20000,10087,9913,50.435000
uniform_02.txt,uniform,2,ARC_25,25,1,20000,1240,18760,6.200000
uniform_02.txt,uniform,2,ARC_50,50,1,20000,2551,17449,12.755000
uniform_02.txt,uniform,2,ARC_75,75,1,20000,3739,16261,18.695000
uniform_02.txt,uniform,2,LFU_10,10,1,20000,496,19504,2.480000
uniform_02.txt,uniform,2,LFU_100,100,1,20000,4882,15118,24.410000
uniform_02.txt,uniform,2,LFU_125,125,1,20000,6132,13868,30.660000
uniform_02.txt,uniform,2,LFU_150,150,1,20000,7458,12542,37.290000
uniform_02.txt,uniform,2,LFU_175,175,1,20000,8684,11316,43.420000
uniform_02.txt,uniform,2,LFU_200,200,1,20000,9908,10092,49.540000
uniform_02.txt,uniform,2,LFU_25,25,1,20000,1236,18764,6.180000
uniform_02.txt,uniform,2,LFU_50,50,1,20000,2434,17566,12.170000
uniform_02.txt,uniform,2,LFU_75,75,1,20000,3665,16335,18.325000
uniform_02.txt,uniform,2,LIRS_10,10,1,20000,503,19497,2.515000
uniform_02.txt,uniform,2,LIRS_100,100,1,20000,5050,14950,25.250000
uniform_02.txt,uniform,2,LIRS_125,125,1,20000,6265,13735,31.325000
uniform_02.txt,uniform,2,LIRS_150,150,1,20000,7497,12503,37.485000
uniform_02.txt,uniform,2,LIRS_175,175,1,20000,8749,11251,43.745000
uniform_02.txt,uniform,2,LIRS_200,200,1,20000,10020,9980,50.100000
uniform_02.txt,uniform,2,LIRS_25,25,1,20000,1262,18738,6.310000
uniform_02.txt,uniform,2,LIRS_50,50,1,20000,2509,17491,12.545000
uniform_02.txt,uniform,2,LIRS_75,75,1,20000,3840,16160,19.200000
uniform_02.txt,uniform,2,LRU20_2Q80,100,2,20000,4218,15782,21.090000
uniform_02.txt,uniform,2,LRU20_ARC80,100,2,20000,3994,16006,19.970000
uniform_02.txt,uniform,2,LRU20_LFU80,100,2,20000,4209,15791,21.045000
uniform_02.txt,uniform,2,LRU20_LIRS80,100,2,20000,4090,15910,20.450000
uniform_02.txt,uniform,2,LRU_10,10,1,20000,468,19532,2.340000
uniform_02.txt,uniform,2,LRU_100,100,1,20000,5086,14914,25.430000
uniform_02.txt,uniform,2,LRU_125,125,1,20000,6320,13680,31.600000
uniform_02.txt,uniform,2,LRU_150,150,1,20000,7648,12352,38.240000
uniform_02.txt,uniform,2,LRU_175,175,1,20000,8894,11106,44.470000
uniform_02.txt,uniform,2,LRU_200,200,1,20000,10087,9913,50.435000
uniform_02.txt,uniform,2,LRU_25,25,1,20000,1251,18749,6.255000
uniform_02.txt,uniform,2,LRU_50,50,1,20000,2477,17523,12.385000
uniform_02.txt,uniform,2,LRU_75,75,1,20000,3800,16200,19.000000
uniform_02.txt,uniform,2,BELADY_10,10,1,20000,3546,16454,17.730000
uniform_02.txt,uniform,2,BELADY_25,25,1,20000,6094,13906,30.470000
uniform_02.txt,uniform,2,BELADY_50,50,1,20000,8712,11288,43.560000
uniform_02.txt,uniform,2,BELADY_75,75,1,20000,10579,9421,52.895000
uniform_02.txt,uniform,2,BELADY_100,100,1,20000,12074,7926,60.370000
uniform_02.txt,uniform,2,BELADY_125,125,1,20000,13281,6719,66.405000
uniform_02.txt,uniform,2,BELADY_150,150,1,20000,14350,5650,71.750000
uniform_02.txt,uniform,2,BELADY_175,175,1,20000,15266,4734,76.330000
uniform_02.txt,uniform,2,BELADY_200,200,1,20000,16091,3909,80.455000
uniform_03.txt,uniform,3,2Q_10,10,1,20000,502,19498,2.510000
uniform_03.txt,uniform,3,2Q_100,100,1,20000,4829,15171,24.145000
uniform_03.txt,uniform,3,2Q_125,125,1,20000,6112,13888,30.560000
uniform_03.txt,uniform,3,2Q_150,150,1,20000,7447,12553,37.235000
uniform_03.txt,uniform,3,2Q_175,175,1,20000,8732,11268,43.660000
uniform_03.txt,uniform,3,2Q_200,200,1,20000,9961,10039,49.805000
uniform_03.txt,uniform,3,2Q_25,25,1,20000,1241,18759,6.205000
uniform_03.txt,uniform,3,2Q_50,50,1,20000,2459,17541,12.295000
uniform_03.txt,uniform,3,2Q_75,75,1,20000,3670,16330,18.350000
uniform_03.txt,uniform,3,ARC_10,10,1,20000,484,19516,2.420000
uniform_03.txt,uniform,3,ARC_100,100,1,20000,4997,15003,24.985000
uniform_03.txt,uniform,3,ARC_125,125,1,20000,6233,13767,31.165000
uniform_03.txt,uniform,3,ARC_150,150,1,20000,7514,12486,37.570000
uniform_03.txt,uniform,3,ARC_175,175,1,20000,8724,11276,43.620000
uniform_03.txt,uniform,3,ARC_200,200,1,20000,10031,9969,50.155000
uniform_03.txt,uniform,3,ARC_25,25,1,20000,1249,18751,6.245000
uniform_03.txt,uniform,3,ARC_50,50,1,20000,2435,17565,12.175000
uniform_03.txt,uniform,3,ARC_75,75,1,20000,3656,16344,18.280000
uniform_03.txt,uniform,3,LFU_10,10,1,20000,537,19463,2.685000
uniform_03.txt,uniform,3,LFU_100,100,1,20000,5115,14885,25.575000
uniform_03.txt,uniform,3,LFU_125,125,1,20000,6282,13718,31.410000
uniform_03.txt,uniform,3,LFU_150,150,1,20000,7538,12462,37.690000
uniform_03.txt,uniform,3,LFU_175,175,1,20000,8825,11175,44.125000
uniform_03.txt,uniform,3,LFU_200,200,1,20000,10065,9935,50.325000
uniform_03.txt,uniform,3,LFU_25,25,1,20000,1271,18729,6.355000
uniform_03.txt,uniform,3,LFU_50,50,1,20000,2579,17421,12.895000
uniform_03.txt,uniform,3,LFU_75,75,1,20000,3860,16140,19.300000
uniform_03.txt,uniform,3,LIRS_10,10,1,20000,502,19498,2.510000
uniform_03.txt,uniform,3,LIRS_100,100,1,20000,4946,15054,24.730000
uniform_03.txt,uniform,3,LIRS_125,125,1,20000,6161,13839,30.805000
uniform_03.txt,uniform,3,LIRS_150,150,1,20000,7411,12589,37.055000
uniform_03.txt,uniform,3,LIRS_175,175,1,20000,8712,11288,43.560000
uniform_03.txt,uniform,3,LIRS_200,200,1,20000,9961,10039,49.805000
uniform_03.txt,uniform,3,LIRS_25,25,1,20000,1219,18781,6.095000
uniform_03.txt,uniform,3,LIRS_50,50,1,20000,2468,17532,12.340000
uniform_03.txt,uniform,3,LIRS_75,75,1,20000,3658,16342,18.290000
uniform_03.txt,uniform,3,LRU20_2Q80,100,2,20000,4112,15888,20.560000
uniform_03.txt,uniform,3,LRU20_ARC80,100,2,20000,3952,16048,19.760000
uniform_03.txt,uniform,3,LRU20_LFU80,100,2,20000,4166,15834,20.830000
uniform_03.txt,uniform,3,LRU20_LIRS80,100,2,20000,4001,15999,20.005000
uniform_03.txt,uniform,3,LRU_10,10,1,20000,495,19505,2.475000
uniform_03.txt,uniform,3,LRU_100,100,1,20000,5001,14999,25.005000
uniform_03.txt,uniform,3,LRU_125,125,1,20000,6201,13799,31.005000
uniform_03.txt,uniform,3,LRU_150,150,1,20000,7470,12530,37.350000
uniform_03.txt,uniform,3,LRU_175,175,1,20000,8752,11248,43.760000
uniform_03.txt,uniform,3,LRU_200,200,1,20000,10031,9969,50.155000
uniform_03.txt,uniform,3,LRU_25,25,1,20000,1217,18783,6.085000
uniform_03.txt,uniform,3,LRU_50,50,1,20000,2483,17517,12.415000
uniform_03.txt,uniform,3,LRU_75,75,1,20000,3724,16276,18.620000
uniform_03.txt,uniform,3,BELADY_10,10,1,20000,3518,16482,17.590000
uniform_03.txt,uniform,3,BELADY_25,25,1,20000,6014,13986,30.070000
uniform_03.txt,uniform,3,BELADY_50,50,1,20000,8637,11363,43.185000
uniform_03.txt,uniform,3,BELADY_75,75,1,20000,10503,9497,52.515000
uniform_03.txt,uniform,3,BELADY_100,100,1,20000,12015,7985,60.075000
uniform_03.txt,uniform,3,BELADY_125,125,1,20000,13276,6724,66.380000
uniform_03.txt,uniform,3,BELADY_150,150,1,20000,14324,5676,71.620000
uniform_03.txt,uniform,3,BELADY_175,175,1,20000,15266,4734,76.330000
uniform_03.txt,uniform,3,BELADY_200,200,1,20000,16078,3922,80.390000
uniform_04.txt,uniform,4,2Q_10,10,1,20000,502,19498,2.510000
uniform_04.txt,uniform,4,2Q_100,100,1,20000,4991,15009,24.955000
uniform_04.txt,uniform,4,2Q_125,125,1,20000,6190,13810,30.950000
uniform_04.txt,uniform,4,2Q_150,150,1,20000,7389,12611,36.945000
uniform_04.txt,uniform,4,2Q_175,175,1,20000,8671,11329,43.355000
uniform_04.txt,uniform,4,2Q_200,200,1,20000,10022,9978,50.110000
uniform_04.txt,uniform,4,2Q_25,25,1,20000,1283,18717,6.415000
uniform_04.txt,uniform,4,2Q_50,50,1,20000,2510,17490,12.550000
uniform_04.txt,uniform,4,2Q_75,75,1,20000,3768,16232,18.840000
uniform_04.txt,uniform,4,ARC_10,10,1,20000,517,19483,2.585000
uniform_04.txt,uniform,4,ARC_100,100,1,20000,4882,15118,24.410000
uniform_04.txt,uniform,4,ARC_125,125,1,20000,6181,13819,30.905000
uniform_04.txt,uniform,4,ARC_150,150,1,20000,7432,12568,37.160000
uniform_04.txt,uniform,4,ARC_175,175,1,20000,8737,11263,43.685000
uniform_04.txt,uniform,4,ARC_200,200,1,20000,9981,10019,49.905000
uniform_04.txt,uniform,4,ARC_25,25,1,20000,1234,18766,6.170000
uniform_04.txt,uniform,4,ARC_50,50,1,20000,2460,17540,12.300000
uniform_04.txt,uniform,4,ARC_75,75,1,20000,3660,16340,18.300000
uniform_04.txt,uniform,4,LFU_10,10,1,20000,502,19498,2.510000
