dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
twoq,6,100,29898,BELADY,18720,11178,0.6261288380493678
twoq,7,100,29720,LRU,16300,13420,0.5484522207267833
twoq,7,100,29720,LFU,11682,18038,0.3930686406460296
twoq,7,100,29720,ARC,16403,13317,0.5519179004037685
twoq,7,100,29720,2Q,17271,12449,0.5811238223418573
twoq,7,100,29720,LIRS,15176,14544,0.5106325706594885
twoq,7,100,29720,BELADY,18720,11000,0.629878869448183
twoq,8,100,29767,LRU,16342,13425,0.5489972116773608
twoq,8,100,29767,LFU,11733,18034,0.39416131958208755
twoq,8,100,29767,ARC,16384,13383,0.5504081701212752
twoq,8,100,29767,2Q,17206,12561,0.5780226425235999
twoq,8,100,29767,LIRS,15193,14574,0.5103974199617025
twoq,8,100,29767,BELADY,18720,11047,0.6288843350018477
twoq,9,100,29788,LRU,16328,13460,0.5481401906808111
twoq,9,100,29788,LFU,11749,18039,0.3944205720424332
twoq,9,100,29788,ARC,16366,13422,0.5494158721632872
twoq,9,100,29788,2Q,17260,12528,0.5794279575668054
twoq,9,100,29788,LIRS,15188,14600,0.5098697462065261
twoq,9,100,29788,BELADY,18720,11068,0.6284409829461528
lirs,0,100,31072,LRU,1543,29529,0.049658856848609684
lirs,0,100,31072,LFU,2214,28858,0.07125386199794027
lirs,0,100,31072,ARC,2214,28858,0.07125386199794027
lirs,0,100,31072,2Q,1827,29245,0.05879891864057672
lirs,0,100,31072,LIRS,17605,13467,0.56658728115345
lirs,0,100,31072,BELADY,25543,5529,0.8220584449021627
lirs,1,100,31072,LRU,1540,29532,0.049562306900102986
lirs,1,100,31072,LFU,2214,28858,0.07125386199794027
lirs,1,100,31072,ARC,2214,28858,0.07125386199794027
lirs,1,100,31072,2Q,1832,29240,0.05895983522142122
lirs,1,100,31072,LIRS,17602,13470,0.5664907312049433
lirs,1,100,31072,BELADY,25540,5532,0.821961894953656
lirs,2,100,31072,LRU,1555,29517,0.050045056642636455
lirs,2,100,31072,LFU,2214,28858,0.07125386199794027
lirs,2,100,31072,ARC,2214,28858,0.07125386199794027
lirs,2,100,31072,2Q,1844,29228,0.05934603501544799
lirs,2,100,31072,LIRS,17617,13455,0.5669734809474768
lirs,2,100,31072,BELADY,25555,5517,0.8224446446961895
