dataset,capacity,algorithm,hits,requests,hit_rate
arc,50,LFU,9533,22919,0.415943103974868
arc,50,ARC,10779,22919,0.47030847768227235
arc,50,2Q,10530,22919,0.45944412932501416
arc,50,LIRS,10093,22919,0.4403769797984205
arc,50,BELADY,12610,22919,0.5501985252410664
arc,100,LRU,11474,22919,0.5006326628561456
arc,100,LFU,10429,22919,0.45503730529255204
arc,100,ARC,11795,22919,0.5146385095335748
arc,100,2Q,11065,22919,0.48278720712072953
arc,100,LIRS,10985,22919,0.4792966534316506
arc,100,BELADY,13088,22919,0.571054583533313
arc,150,LRU,11877,22919,0.5182163270648806
arc,150,LFU,10433,22919,0.45521183297700596
arc,150,ARC,12044,22919,0.525502857890833
arc,150,2Q,11301,22919,0.49308434050351235
arc,150,LIRS,11358,22919,0.4955713600069811
arc,150,BELADY,13088,22919,0.571054583533313
arc,200,LRU,12148,22919,0.5300405776866356
arc,200,LFU,10481,22919,0.45730616519045336
arc,200,ARC,12262,22919,0.535014616693573
arc,200,2Q,11483,22919,0.5010253501461669
arc,200,LIRS,11664,22919,0.508922727867708
arc,200,BELADY,13088,22919,0.571054583533313
twoq,50,LRU,13564,29740,0.4560860793544048
twoq,50,LFU,11395,29740,0.3831540013449899
twoq,50,ARC,14056,29740,0.4726294552790854
twoq,50,2Q,15305,29740,0.5146267652992602
twoq,50,LIRS,12788,29740,0.4299932750504371
twoq,50,BELADY,18270,29740,0.6143241425689308
twoq,100,LRU,16372,29740,0.5505043712172158
twoq,100,LFU,11699,29740,0.39337592468056487
twoq,100,ARC,16442,29740,0.5528581035642233
twoq,100,2Q,17191,29740,0.5780430396772024
twoq,100,LIRS,15236,29740,0.5123066577000672
twoq,100,BELADY,18720,29740,0.6294552790854069
twoq,150,LRU,17445,29740,0.5865837256220578
twoq,150,LFU,12295,29740,0.41341627437794215
twoq,150,ARC,17469,29740,0.5873907195696032
twoq,150,2Q,17388,29740,0.5846671149966375
twoq,150,LIRS,16590,29740,0.5578345662407532
twoq,150,BELADY,18720,29740,0.6294552790854069
twoq,200,LRU,18092,29740,0.6083389374579691
twoq,200,LFU,13067,29740,0.4393745796906523
twoq,200,ARC,18086,29740,0.6081371889710827
twoq,200,2Q,17495,29740,0.5882649630127774
twoq,200,LIRS,17564,29740,0.5905850706119704
twoq,200,BELADY,18720,29740,0.6294552790854069
lirs,50,LRU,1543,31072,0.049658856848609684
lirs,50,LFU,2214,31072,0.07125386199794027
lirs,50,ARC,2214,31072,0.07125386199794027
lirs,50,2Q,2013,31072,0.06478501544799176
lirs,50,LIRS,9410,31072,0.3028450051493306
lirs,50,BELADY,13543,31072,0.4358586508753862
lirs,100,LRU,1543,31072,0.049658856848609684
lirs,100,LFU,2214,31072,0.07125386199794027
lirs,100,ARC,2214,31072,0.07125386199794027
lirs,100,2Q,1827,31072,0.05879891864057672
lirs,100,LIRS,17605,31072,0.56658728115345
lirs,100,BELADY,25543,31072,0.8220584449021627
lirs,150,LRU,26904,31072,0.865859938208033
lirs,150,LFU,2832,31072,0.09114315139031925
